DATUM,Category,Type,Year,Value,Prev_Year_Value,Change_Prev_Month_Pct,Change_Prev_Year_Pct,12M_Moving_Avg,Month
2000-09-01,Verkehrsunfälle,mit Personenschäden,2000,557.0,,6.1,,480.0,9
2000-09-01,Alkoholunfälle,insgesamt,2000,84.0,,9.09,,77.0,9
2000-09-01,Fluchtunfälle,Verletzte und Getötete,2000,68.0,,-8.11,,57.0,9
2000-09-01,Verkehrsunfälle,Verletzte und Getötete,2000,675.0,,4.33,,594.0,9
2000-09-01,Alkoholunfälle,Verletzte und Getötete,2000,45.0,,40.63,,32.0,9
2000-09-01,Verkehrsunfälle,insgesamt,2000,3807.0,,12.4,,3629.0,9
2000-09-01,Fluchtunfälle,insgesamt,2000,978.0,,11.01,,936.0,9
2000-10-01,Verkehrsunfälle,Verletzte und Getötete,2000,615.0,,-8.89,,596.0,10
2000-10-01,Verkehrsunfälle,mit Personenschäden,2000,493.0,,-11.49,,481.0,10
2000-10-01,Verkehrsunfälle,insgesamt,2000,4117.0,,8.14,,3677.0,10
2000-10-01,Fluchtunfälle,Verletzte und Getötete,2000,47.0,,-30.88,,56.0,10
2000-10-01,Alkoholunfälle,Verletzte und Getötete,2000,31.0,,-31.11,,32.0,10
2000-10-01,Fluchtunfälle,insgesamt,2000,1078.0,,10.22,,950.0,10
2000-10-01,Alkoholunfälle,insgesamt,2000,83.0,,-1.19,,78.0,10
2000-11-01,Fluchtunfälle,Verletzte und Getötete,2000,56.0,,19.15,,56.0,11
2000-11-01,Alkoholunfälle,Verletzte und Getötete,2000,24.0,,-22.58,,31.0,11
2000-11-01,Fluchtunfälle,insgesamt,2000,1017.0,,-5.66,,956.0,11
2000-11-01,Verkehrsunfälle,mit Personenschäden,2000,461.0,,-6.49,,479.0,11
2000-11-01,Verkehrsunfälle,insgesamt,2000,3931.0,,-4.52,,3700.0,11
2000-11-01,Verkehrsunfälle,Verletzte und Getötete,2000,578.0,,-6.02,,594.0,11
2000-11-01,Alkoholunfälle,insgesamt,2000,71.0,,-14.46,,77.0,11
2000-12-01,Verkehrsunfälle,insgesamt,2000,3789.0,,-3.61,,3708.0,12
2000-12-01,Verkehrsunfälle,Verletzte und Getötete,2000,515.0,,-10.9,,588.0,12
2000-12-01,Fluchtunfälle,insgesamt,2000,950.0,,-6.59,,956.0,12
2000-12-01,Verkehrsunfälle,mit Personenschäden,2000,403.0,,-12.58,,473.0,12
2000-12-01,Alkoholunfälle,insgesamt,2000,85.0,,19.72,,78.0,12
2000-12-01,Alkoholunfälle,Verletzte und Getötete,2000,31.0,,29.17,,31.0,12
2000-12-01,Fluchtunfälle,Verletzte und Getötete,2000,45.0,,-19.64,,55.0,12
2001-01-01,Verkehrsunfälle,insgesamt,2001,3348.0,3448.0,-11.64,-2.9,3700.0,1
2001-01-01,Alkoholunfälle,Verletzte und Getötete,2001,36.0,37.0,16.13,-2.7,31.0,1
2001-01-01,Fluchtunfälle,insgesamt,2001,871.0,835.0,-8.32,4.31,959.0,1
2001-01-01,Fluchtunfälle,Verletzte und Getötete,2001,44.0,34.0,-2.22,29.41,56.0,1
2001-01-01,Verkehrsunfälle,mit Personenschäden,2001,354.0,321.0,-12.16,10.28,476.0,1
2001-01-01,Verkehrsunfälle,Verletzte und Getötete,2001,448.0,434.0,-13.01,3.23,589.0,1
2001-01-01,Alkoholunfälle,insgesamt,2001,66.0,78.0,-22.35,-15.38,77.0,1
2001-02-01,Fluchtunfälle,Verletzte und Getötete,2001,51.0,35.0,15.91,45.71,57.0,2
2001-02-01,Fluchtunfälle,insgesamt,2001,820.0,890.0,-5.86,-7.87,953.0,2
2001-02-01,Alkoholunfälle,insgesamt,2001,49.0,53.0,-25.76,-7.55,77.0,2
2001-02-01,Verkehrsunfälle,mit Personenschäden,2001,343.0,329.0,-3.11,4.26,477.0,2
2001-02-01,Verkehrsunfälle,Verletzte und Getötete,2001,439.0,419.0,-2.01,4.77,591.0,2
2001-02-01,Alkoholunfälle,Verletzte und Getötete,2001,20.0,19.0,-44.44,5.26,31.0,2
2001-02-01,Verkehrsunfälle,insgesamt,2001,3148.0,3181.0,-5.97,-1.04,3697.0,2
2001-03-01,Verkehrsunfälle,Verletzte und Getötete,2001,535.0,509.0,21.87,5.11,593.0,3
2001-03-01,Fluchtunfälle,Verletzte und Getötete,2001,43.0,48.0,-15.69,-10.42,57.0,3
2001-03-01,Alkoholunfälle,insgesamt,2001,63.0,73.0,28.57,-13.7,76.0,3
2001-03-01,Verkehrsunfälle,mit Personenschäden,2001,426.0,414.0,24.2,2.9,478.0,3
2001-03-01,Alkoholunfälle,Verletzte und Getötete,2001,36.0,18.0,80.0,100.0,33.0,3
2001-03-01,Verkehrsunfälle,insgesamt,2001,3970.0,3783.0,26.11,4.94,3712.0,3
2001-03-01,Fluchtunfälle,insgesamt,2001,962.0,974.0,17.32,-1.23,952.0,3
2001-04-01,Fluchtunfälle,Verletzte und Getötete,2001,68.0,57.0,58.14,19.3,58.0,4
2001-04-01,Alkoholunfälle,Verletzte und Getötete,2001,32.0,26.0,-11.11,23.08,33.0,4
2001-04-01,Verkehrsunfälle,Verletzte und Getötete,2001,578.0,557.0,8.04,3.77,595.0,4
2001-04-01,Fluchtunfälle,insgesamt,2001,897.0,834.0,-6.76,7.55,957.0,4
2001-04-01,Verkehrsunfälle,mit Personenschäden,2001,454.0,441.0,6.57,2.95,479.0,4
2001-04-01,Verkehrsunfälle,insgesamt,2001,3565.0,3317.0,-10.2,7.48,3733.0,4
2001-04-01,Alkoholunfälle,insgesamt,2001,68.0,78.0,7.94,-12.82,75.0,4
2001-05-01,Fluchtunfälle,insgesamt,2001,1081.0,1086.0,20.51,-0.46,957.0,5
2001-05-01,Alkoholunfälle,Verletzte und Getötete,2001,32.0,44.0,0.0,-27.27,32.0,5
2001-05-01,Alkoholunfälle,insgesamt,2001,85.0,96.0,25.0,-11.46,74.0,5
2001-05-01,Fluchtunfälle,Verletzte und Getötete,2001,67.0,69.0,-1.47,-2.9,57.0,5
2001-05-01,Verkehrsunfälle,insgesamt,2001,4128.0,4123.0,15.79,0.12,3733.0,5
2001-05-01,Verkehrsunfälle,mit Personenschäden,2001,655.0,568.0,44.27,15.32,486.0,5
2001-05-01,Verkehrsunfälle,Verletzte und Getötete,2001,817.0,675.0,41.35,21.04,606.0,5
2001-06-01,Verkehrsunfälle,Verletzte und Getötete,2001,679.0,685.0,-16.89,-0.88,606.0,6
2001-06-01,Fluchtunfälle,Verletzte und Getötete,2001,78.0,58.0,16.42,34.48,59.0,6
2001-06-01,Alkoholunfälle,insgesamt,2001,68.0,57.0,-20.0,19.3,75.0,6
2001-06-01,Fluchtunfälle,insgesamt,2001,905.0,842.0,-16.28,7.48,962.0,6
2001-06-01,Alkoholunfälle,Verletzte und Getötete,2001,46.0,32.0,43.75,43.75,34.0,6
2001-06-01,Verkehrsunfälle,insgesamt,2001,3715.0,3329.0,-10.0,11.6,3766.0,6
2001-06-01,Verkehrsunfälle,mit Personenschäden,2001,560.0,555.0,-14.5,0.9,487.0,6
2001-07-01,Fluchtunfälle,insgesamt,2001,1047.0,1102.0,15.69,-4.99,957.0,7
2001-07-01,Verkehrsunfälle,insgesamt,2001,4288.0,4282.0,15.42,0.14,3766.0,7
2001-07-01,Fluchtunfälle,Verletzte und Getötete,2001,83.0,67.0,6.41,23.88,60.0,7
2001-07-01,Alkoholunfälle,Verletzte und Getötete,2001,35.0,37.0,-23.91,-5.41,33.0,7
2001-07-01,Verkehrsunfälle,mit Personenschäden,2001,755.0,610.0,34.82,23.77,499.0,7
2001-07-01,Alkoholunfälle,insgesamt,2001,71.0,99.0,4.41,-28.28,73.0,7
2001-07-01,Verkehrsunfälle,Verletzte und Getötete,2001,921.0,744.0,35.64,23.79,621.0,7
2001-08-01,Verkehrsunfälle,mit Personenschäden,2001,510.0,525.0,-32.45,-2.86,498.0,8
2001-08-01,Alkoholunfälle,Verletzte und Getötete,2001,21.0,32.0,-40.0,-34.38,32.0,8
2001-08-01,Fluchtunfälle,Verletzte und Getötete,2001,57.0,74.0,-31.33,-22.97,59.0,8
2001-08-01,Fluchtunfälle,insgesamt,2001,814.0,881.0,-22.25,-7.6,952.0,8
2001-08-01,Alkoholunfälle,insgesamt,2001,60.0,77.0,-15.49,-22.08,71.0,8
2001-08-01,Verkehrsunfälle,Verletzte und Getötete,2001,600.0,647.0,-34.85,-7.26,617.0,8
2001-08-01,Verkehrsunfälle,insgesamt,2001,3351.0,3387.0,-21.85,-1.06,3763.0,8
2001-09-01,Verkehrsunfälle,insgesamt,2001,3939.0,3807.0,17.55,3.47,3774.0,9
2001-09-01,Alkoholunfälle,Verletzte und Getötete,2001,48.0,45.0,128.57,6.67,33.0,9
2001-09-01,Fluchtunfälle,insgesamt,2001,953.0,978.0,17.08,-2.56,950.0,9
2001-09-01,Fluchtunfälle,Verletzte und Getötete,2001,40.0,68.0,-29.82,-41.18,57.0,9
2001-09-01,Alkoholunfälle,insgesamt,2001,107.0,84.0,78.33,27.38,73.0,9
2001-09-01,Verkehrsunfälle,mit Personenschäden,2001,497.0,557.0,-2.55,-10.77,493.0,9
2001-09-01,Verkehrsunfälle,Verletzte und Getötete,2001,643.0,675.0,7.17,-4.74,614.0,9
2001-10-01,Fluchtunfälle,insgesamt,2001,1104.0,1078.0,15.84,2.41,952.0,10
2001-10-01,Verkehrsunfälle,insgesamt,2001,4250.0,4117.0,7.9,3.23,3785.0,10
2001-10-01,Alkoholunfälle,insgesamt,2001,77.0,83.0,-28.04,-7.23,73.0,10
2001-10-01,Alkoholunfälle,Verletzte und Getötete,2001,37.0,31.0,-22.92,19.35,33.0,10
2001-10-01,Verkehrsunfälle,Verletzte und Getötete,2001,717.0,615.0,11.51,16.59,623.0,10
2001-10-01,Verkehrsunfälle,mit Personenschäden,2001,581.0,493.0,16.9,17.85,500.0,10
2001-10-01,Fluchtunfälle,Verletzte und Getötete,2001,85.0,47.0,112.5,80.85,60.0,10
2001-11-01,Fluchtunfälle,Verletzte und Getötete,2001,32.0,56.0,-62.35,-42.86,58.0,11
2001-11-01,Fluchtunfälle,insgesamt,2001,1001.0,1017.0,-9.33,-1.57,950.0,11
2001-11-01,Verkehrsunfälle,Verletzte und Getötete,2001,568.0,578.0,-20.78,-1.73,622.0,11
2001-11-01,Alkoholunfälle,insgesamt,2001,68.0,71.0,-11.69,-4.23,72.0,11
2001-11-01,Verkehrsunfälle,mit Personenschäden,2001,436.0,461.0,-24.96,-5.42,498.0,11
2001-11-01,Alkoholunfälle,Verletzte und Getötete,2001,25.0,24.0,-32.43,4.17,33.0,11
2001-11-01,Verkehrsunfälle,insgesamt,2001,4022.0,3931.0,-5.36,2.31,3793.0,11
2001-12-01,Verkehrsunfälle,mit Personenschäden,2001,377.0,403.0,-13.53,-6.45,496.0,12
2001-12-01,Alkoholunfälle,insgesamt,2001,66.0,85.0,-2.94,-22.35,71.0,12
2001-12-01,Alkoholunfälle,Verletzte und Getötete,2001,23.0,31.0,-8.0,-25.81,33.0,12
2001-12-01,Verkehrsunfälle,insgesamt,2001,3989.0,3789.0,-0.82,5.28,3809.0,12
2001-12-01,Verkehrsunfälle,Verletzte und Getötete,2001,507.0,515.0,-10.74,-1.55,621.0,12
2001-12-01,Fluchtunfälle,Verletzte und Getötete,2001,39.0,45.0,21.88,-13.33,57.0,12
2001-12-01,Fluchtunfälle,insgesamt,2001,941.0,950.0,-5.99,-0.95,950.0,12
2002-01-01,Alkoholunfälle,Verletzte und Getötete,2002,24.0,36.0,4.35,-33.33,32.0,1
2002-01-01,Fluchtunfälle,insgesamt,2002,852.0,871.0,-9.46,-2.18,948.0,1
2002-01-01,Verkehrsunfälle,Verletzte und Getötete,2002,431.0,448.0,-14.99,-3.79,620.0,1
2002-01-01,Alkoholunfälle,insgesamt,2002,44.0,66.0,-33.33,-33.33,69.0,1
2002-01-01,Verkehrsunfälle,mit Personenschäden,2002,328.0,354.0,-13.0,-7.34,494.0,1
2002-01-01,Fluchtunfälle,Verletzte und Getötete,2002,36.0,44.0,-7.69,-18.18,57.0,1
2002-01-01,Verkehrsunfälle,insgesamt,2002,3063.0,3348.0,-23.21,-8.51,3786.0,1
2002-02-01,Fluchtunfälle,Verletzte und Getötete,2002,33.0,51.0,-8.33,-35.29,55.0,2
2002-02-01,Verkehrsunfälle,mit Personenschäden,2002,316.0,343.0,-3.66,-7.87,491.0,2
2002-02-01,Alkoholunfälle,insgesamt,2002,49.0,49.0,11.36,0.0,69.0,2
2002-02-01,Alkoholunfälle,Verletzte und Getötete,2002,22.0,20.0,-8.33,10.0,32.0,2
2002-02-01,Verkehrsunfälle,Verletzte und Getötete,2002,393.0,439.0,-8.82,-10.48,616.0,2
2002-02-01,Fluchtunfälle,insgesamt,2002,817.0,820.0,-4.11,-0.37,948.0,2
2002-02-01,Verkehrsunfälle,insgesamt,2002,2892.0,3148.0,-5.58,-8.13,3764.0,2
2002-03-01,Verkehrsunfälle,insgesamt,2002,3380.0,3970.0,16.87,-14.86,3715.0,3
2002-03-01,Verkehrsunfälle,mit Personenschäden,2002,414.0,426.0,31.01,-2.82,490.0,3
2002-03-01,Verkehrsunfälle,Verletzte und Getötete,2002,520.0,535.0,32.32,-2.8,615.0,3
2002-03-01,Fluchtunfälle,insgesamt,2002,897.0,962.0,9.79,-6.76,942.0,3
2002-03-01,Alkoholunfälle,insgesamt,2002,61.0,63.0,24.49,-3.17,69.0,3
2002-03-01,Fluchtunfälle,Verletzte und Getötete,2002,39.0,43.0,18.18,-9.3,55.0,3
2002-03-01,Alkoholunfälle,Verletzte und Getötete,2002,21.0,36.0,-4.55,-41.67,31.0,3
2002-04-01,Verkehrsunfälle,mit Personenschäden,2002,432.0,454.0,4.35,-4.85,488.0,4
2002-04-01,Fluchtunfälle,insgesamt,2002,784.0,897.0,-12.6,-12.6,933.0,4
2002-04-01,Alkoholunfälle,Verletzte und Getötete,2002,28.0,32.0,33.33,-12.5,30.0,4
2002-04-01,Verkehrsunfälle,insgesamt,2002,3142.0,3565.0,-7.04,-11.87,3680.0,4
2002-04-01,Verkehrsunfälle,Verletzte und Getötete,2002,521.0,578.0,0.19,-9.86,610.0,4
2002-04-01,Alkoholunfälle,insgesamt,2002,65.0,68.0,6.56,-4.41,68.0,4
2002-04-01,Fluchtunfälle,Verletzte und Getötete,2002,37.0,68.0,-5.13,-45.59,52.0,4
2002-05-01,Alkoholunfälle,Verletzte und Getötete,2002,32.0,32.0,14.29,0.0,30.0,5
2002-05-01,Alkoholunfälle,insgesamt,2002,58.0,85.0,-10.77,-31.76,66.0,5
2002-05-01,Verkehrsunfälle,insgesamt,2002,3731.0,4128.0,18.75,-9.62,3647.0,5
2002-05-01,Verkehrsunfälle,mit Personenschäden,2002,537.0,655.0,24.31,-18.02,479.0,5
2002-05-01,Fluchtunfälle,insgesamt,2002,857.0,1081.0,9.31,-20.72,914.0,5
2002-05-01,Fluchtunfälle,Verletzte und Getötete,2002,73.0,67.0,97.3,8.96,53.0,5
2002-05-01,Verkehrsunfälle,Verletzte und Getötete,2002,654.0,817.0,25.53,-19.95,596.0,5
2002-06-01,Verkehrsunfälle,Verletzte und Getötete,2002,833.0,679.0,27.37,22.68,609.0,6
2002-06-01,Verkehrsunfälle,mit Personenschäden,2002,675.0,560.0,25.7,20.54,488.0,6
2002-06-01,Verkehrsunfälle,insgesamt,2002,3586.0,3715.0,-3.89,-3.47,3636.0,6
2002-06-01,Alkoholunfälle,Verletzte und Getötete,2002,42.0,46.0,31.25,-8.7,30.0,6
2002-06-01,Fluchtunfälle,insgesamt,2002,987.0,905.0,15.17,9.06,921.0,6
2002-06-01,Fluchtunfälle,Verletzte und Getötete,2002,74.0,78.0,1.37,-5.13,52.0,6
2002-06-01,Alkoholunfälle,insgesamt,2002,74.0,68.0,27.59,8.82,67.0,6
2002-07-01,Verkehrsunfälle,insgesamt,2002,3960.0,4288.0,10.43,-7.65,3609.0,7
2002-07-01,Alkoholunfälle,Verletzte und Getötete,2002,40.0,35.0,-4.76,14.29,30.0,7
2002-07-01,Fluchtunfälle,insgesamt,2002,1026.0,1047.0,3.95,-2.01,919.0,7
2002-07-01,Verkehrsunfälle,mit Personenschäden,2002,711.0,755.0,5.33,-5.83,485.0,7
2002-07-01,Fluchtunfälle,Verletzte und Getötete,2002,72.0,83.0,-2.7,-13.25,51.0,7
2002-07-01,Alkoholunfälle,insgesamt,2002,84.0,71.0,13.51,18.31,68.0,7
2002-07-01,Verkehrsunfälle,Verletzte und Getötete,2002,865.0,921.0,3.84,-6.08,604.0,7
2002-08-01,Verkehrsunfälle,mit Personenschäden,2002,479.0,510.0,-32.63,-6.08,482.0,8
2002-08-01,Verkehrsunfälle,insgesamt,2002,3007.0,3351.0,-24.07,-10.27,3580.0,8
2002-08-01,Alkoholunfälle,Verletzte und Getötete,2002,29.0,21.0,-27.5,38.1,31.0,8
2002-08-01,Verkehrsunfälle,Verletzte und Getötete,2002,601.0,600.0,-30.52,0.17,604.0,8
2002-08-01,Fluchtunfälle,insgesamt,2002,785.0,814.0,-23.49,-3.56,917.0,8
2002-08-01,Fluchtunfälle,Verletzte und Getötete,2002,50.0,57.0,-30.56,-12.28,51.0,8
2002-08-01,Alkoholunfälle,insgesamt,2002,71.0,60.0,-15.48,18.33,69.0,8
2002-09-01,Alkoholunfälle,insgesamt,2002,107.0,107.0,50.7,0.0,69.0,9
2002-09-01,Verkehrsunfälle,Verletzte und Getötete,2002,621.0,643.0,3.33,-3.42,603.0,9
2002-09-01,Verkehrsunfälle,mit Personenschäden,2002,509.0,497.0,6.26,2.41,483.0,9
2002-09-01,Fluchtunfälle,Verletzte und Getötete,2002,77.0,40.0,54.0,92.5,54.0,9
2002-09-01,Fluchtunfälle,insgesamt,2002,1039.0,953.0,32.36,9.02,924.0,9
2002-09-01,Alkoholunfälle,Verletzte und Getötete,2002,51.0,48.0,75.86,6.25,31.0,9
2002-09-01,Verkehrsunfälle,insgesamt,2002,3436.0,3939.0,14.27,-12.77,3538.0,9
2002-10-01,Verkehrsunfälle,mit Personenschäden,2002,467.0,581.0,-8.25,-19.62,473.0,10
2002-10-01,Verkehrsunfälle,Verletzte und Getötete,2002,630.0,717.0,1.45,-12.13,595.0,10
2002-10-01,Verkehrsunfälle,insgesamt,2002,3859.0,4250.0,12.31,-9.2,3506.0,10
2002-10-01,Alkoholunfälle,insgesamt,2002,83.0,77.0,-22.43,7.79,69.0,10
2002-10-01,Fluchtunfälle,insgesamt,2002,1019.0,1104.0,-1.92,-7.7,917.0,10
2002-10-01,Fluchtunfälle,Verletzte und Getötete,2002,49.0,85.0,-36.36,-42.35,51.0,10
2002-10-01,Alkoholunfälle,Verletzte und Getötete,2002,53.0,37.0,3.92,43.24,33.0,10
2002-11-01,Verkehrsunfälle,mit Personenschäden,2002,448.0,436.0,-4.07,2.75,474.0,11
2002-11-01,Alkoholunfälle,Verletzte und Getötete,2002,10.0,25.0,-81.13,-60.0,31.0,11
2002-11-01,Verkehrsunfälle,insgesamt,2002,3529.0,4022.0,-8.55,-12.26,3465.0,11
2002-11-01,Alkoholunfälle,insgesamt,2002,44.0,68.0,-46.99,-35.29,67.0,11
2002-11-01,Fluchtunfälle,insgesamt,2002,882.0,1001.0,-13.44,-11.89,907.0,11
2002-11-01,Verkehrsunfälle,Verletzte und Getötete,2002,563.0,568.0,-10.63,-0.88,595.0,11
2002-11-01,Fluchtunfälle,Verletzte und Getötete,2002,50.0,32.0,2.04,56.25,52.0,11
2002-12-01,Verkehrsunfälle,insgesamt,2002,3023.0,3989.0,-14.34,-24.22,3384.0,12
2002-12-01,Alkoholunfälle,Verletzte und Getötete,2002,27.0,23.0,170.0,17.39,32.0,12
2002-12-01,Verkehrsunfälle,Verletzte und Getötete,2002,394.0,507.0,-30.02,-22.29,586.0,12
2002-12-01,Fluchtunfälle,Verletzte und Getötete,2002,38.0,39.0,-24.0,-2.56,52.0,12
2002-12-01,Verkehrsunfälle,mit Personenschäden,2002,304.0,377.0,-32.14,-19.36,468.0,12
2002-12-01,Fluchtunfälle,insgesamt,2002,706.0,941.0,-19.95,-24.97,888.0,12
2002-12-01,Alkoholunfälle,insgesamt,2002,63.0,66.0,43.18,-4.55,67.0,12
2003-01-01,Alkoholunfälle,insgesamt,2003,55.0,44.0,-12.7,25.0,68.0,1
2003-01-01,Verkehrsunfälle,mit Personenschäden,2003,282.0,328.0,-7.24,-14.02,465.0,1
2003-01-01,Verkehrsunfälle,insgesamt,2003,3073.0,3063.0,1.65,0.33,3385.0,1
2003-01-01,Fluchtunfälle,Verletzte und Getötete,2003,21.0,36.0,-44.74,-41.67,51.0,1
2003-01-01,Verkehrsunfälle,Verletzte und Getötete,2003,358.0,431.0,-9.14,-16.94,579.0,1
2003-01-01,Alkoholunfälle,Verletzte und Getötete,2003,18.0,24.0,-33.33,-25.0,31.0,1
2003-01-01,Fluchtunfälle,insgesamt,2003,747.0,852.0,5.81,-12.32,879.0,1
2003-02-01,Verkehrsunfälle,mit Personenschäden,2003,232.0,316.0,-17.73,-26.58,458.0,2
2003-02-01,Alkoholunfälle,Verletzte und Getötete,2003,16.0,22.0,-11.11,-27.27,31.0,2
2003-02-01,Verkehrsunfälle,insgesamt,2003,2968.0,2892.0,-3.42,2.63,3391.0,2
2003-02-01,Verkehrsunfälle,Verletzte und Getötete,2003,308.0,393.0,-13.97,-21.63,572.0,2
2003-02-01,Fluchtunfälle,Verletzte und Getötete,2003,20.0,33.0,-4.76,-39.39,50.0,2
2003-02-01,Alkoholunfälle,insgesamt,2003,44.0,49.0,-20.0,-10.2,67.0,2
2003-02-01,Fluchtunfälle,insgesamt,2003,572.0,817.0,-23.43,-29.99,858.0,2
2003-03-01,Fluchtunfälle,Verletzte und Getötete,2003,44.0,39.0,120.0,12.82,50.0,3
2003-03-01,Verkehrsunfälle,Verletzte und Getötete,2003,476.0,520.0,54.55,-8.46,569.0,3
2003-03-01,Fluchtunfälle,insgesamt,2003,854.0,897.0,49.3,-4.79,855.0,3
2003-03-01,Verkehrsunfälle,mit Personenschäden,2003,374.0,414.0,61.21,-9.66,454.0,3
2003-03-01,Verkehrsunfälle,insgesamt,2003,3060.0,3380.0,3.1,-9.47,3365.0,3
2003-03-01,Alkoholunfälle,Verletzte und Getötete,2003,17.0,21.0,6.25,-19.05,30.0,3
2003-03-01,Alkoholunfälle,insgesamt,2003,53.0,61.0,20.45,-13.11,67.0,3
2003-04-01,Verkehrsunfälle,Verletzte und Getötete,2003,535.0,521.0,12.39,2.69,570.0,4
